Commodity,State,Units,Year,Value
Beef and veal,Alabama,Million dollars,2000,38.825
Beef and veal,Alabama,Million dollars,2001,30.4698
Beef and veal,Alabama,Million dollars,2002,25.7166
Beef and veal,Alabama,Million dollars,2003,36.2161
Beef and veal,Alabama,Million dollars,2004,7.9925
Beef and veal,Alabama,Million dollars,2005,12.9345
Beef and veal,Alabama,Million dollars,2006,16.8404
Beef and veal,Alabama,Million dollars,2007,21.4493
Beef and veal,Alabama,Million dollars,2008,21.9068
Beef and veal,Alabama,Million dollars,2009,21.1941
Beef and veal,Alabama,Million dollars,2010,30.8463
Beef and veal,Alabama,Million dollars,2011,34.4093
Beef and veal,Alabama,Million dollars,2012,42.0901
Beef and veal,Alabama,Million dollars,2013,42.7548
Beef and veal,Alabama,Million dollars,2014,58.8217
Beef and veal,Alabama,Million dollars,2015,45.0307
Beef and veal,Alabama,Million dollars,2016,41.8518
Beef and veal,Alabama,Million dollars,2017,55.0694
Beef and veal,Alabama,Million dollars,2018,66.7396
Beef and veal,Alabama,Million dollars,2019,48.452
Beef and veal,Alabama,Million dollars,2020,47.0394
Beef and veal,Alabama,Million dollars,2022,68.0433
Beef and veal,Alabama,Million dollars,2023,67.3002
Beef and veal,Alabama,Million dollars,2021,64.7016
Beef and veal,Alaska,Million dollars,2000,0.1337
Beef and veal,Alaska,Million dollars,2001,0.1114
Beef and veal,Alaska,Million dollars,2002,0.174
Beef and veal,Alaska,Million dollars,2003,0.0787
Beef and veal,Alaska,Million dollars,2004,0.0241
Beef and veal,Alaska,Million dollars,2005,0.0568
Beef and veal,Alaska,Million dollars,2006,0.1071
Beef and veal,Alaska,Million dollars,2007,0.104
Beef and veal,Alaska,Million dollars,2008,0.1239
Beef and veal,Alaska,Million dollars,2009,0.1249
Beef and veal,Alaska,Million dollars,2010,0.1926
Beef and veal,Alaska,Million dollars,2011,0.2337
Beef and veal,Alaska,Million dollars,2012,0.2744
Beef and veal,Alaska,Million dollars,2013,0.1469
Beef and veal,Alaska,Million dollars,2014,0.1821
Beef and veal,Alaska,Million dollars,2015,0.156
Beef and veal,Alaska,Million dollars,2016,0.1949
Beef and veal,Alaska,Million dollars,2017,0.1899
Beef and veal,Alaska,Million dollars,2018,0.4448
Beef and veal,Alaska,Million dollars,2019,0.4186
Beef and veal,Alaska,Million dollars,2020,0.5282
Beef and veal,Alaska,Million dollars,2022,0.6365
Beef and veal,Alaska,Million dollars,2023,0.4795
Beef and veal,Alaska,Million dollars,2021,0.4196
Beef and veal,Arizona,Million dollars,2000,54.0405
Beef and veal,Arizona,Million dollars,2001,57.3896
Beef and veal,Arizona,Million dollars,2002,53.0271
Beef and veal,Arizona,Million dollars,2003,61.0248
Beef and veal,Arizona,Million dollars,2004,12.4203
Beef and veal,Arizona,Million dollars,2005,21.6833
Beef and veal,Arizona,Million dollars,2006,30.8258
Beef and veal,Arizona,Million dollars,2007,36.8628
Beef and veal,Arizona,Million dollars,2008,42.0389
Beef and veal,Arizona,Million dollars,2009,42.2957
Beef and veal,Arizona,Million dollars,2010,50.833
Beef and veal,Arizona,Million dollars,2011,71.3143
Beef and veal,Arizona,Million dollars,2012,73.6816
Beef and veal,Arizona,Million dollars,2013,77.9403
Beef and veal,Arizona,Million dollars,2014,102.3594
Beef and veal,Arizona,Million dollars,2015,73.1842
Beef and veal,Arizona,Million dollars,2016,67.6415
Beef and veal,Arizona,Million dollars,2017,88.3073
Beef and veal,Arizona,Million dollars,2018,106.8161
Beef and veal,Arizona,Million dollars,2019,94.2293
Beef and veal,Arizona,Million dollars,2020,79.6344
Beef and veal,Arizona,Million dollars,2022,116.9893
Beef and veal,Arizona,Million dollars,2023,124.3518
Beef and veal,Arizona,Million dollars,2021,109.0148
Beef and veal,Arkansas,Million dollars,2000,41.1624
Beef and veal,Arkansas,Million dollars,2001,36.3028
Beef and veal,Arkansas,Million dollars,2002,34.4209
Beef and veal,Arkansas,Million dollars,2003,38.1779
Beef and veal,Arkansas,Million dollars,2004,9.7535
Beef and veal,Arkansas,Million dollars,2005,18.0832
Beef and veal,Arkansas,Million dollars,2006,21.8593
Beef and veal,Arkansas,Million dollars,2007,27.3558
Beef and veal,Arkansas,Million dollars,2008,32.7471
Beef and veal,Arkansas,Million dollars,2009,30.4329
Beef and veal,Arkansas,Million dollars,2010,48.7578
Beef and veal,Arkansas,Million dollars,2011,53.1699
Beef and veal,Arkansas,Million dollars,2012,53.1367
Beef and veal,Arkansas,Million dollars,2013,49.7192
Beef and veal,Arkansas,Million dollars,2014,68.136
Beef and veal,Arkansas,Million dollars,2015,56.4216
Beef and veal,Arkansas,Million dollars,2016,48.8388
Beef and veal,Arkansas,Million dollars,2017,58.5988
Beef and veal,Arkansas,Million dollars,2018,60.2218
Beef and veal,Arkansas,Million dollars,2019,55.274
Beef and veal,Arkansas,Million dollars,2020,51.8671
Beef and veal,Arkansas,Million dollars,2022,81.6301
Beef and veal,Arkansas,Million dollars,2023,74.3268
Beef and veal,Arkansas,Million dollars,2021,76.5439
Beef and veal,California,Million dollars,2000,107.97
Beef and veal,California,Million dollars,2001,113.7487
Beef and veal,California,Million dollars,2002,103.3384
Beef and veal,California,Million dollars,2003,132.3088
Beef and veal,California,Million dollars,2004,27.8222
Beef and veal,California,Million dollars,2005,48.6517
Beef and veal,California,Million dollars,2006,69.2026
Beef and veal,California,Million dollars,2007,93.9107
Beef and veal,California,Million dollars,2008,123.6716
Beef and veal,California,Million dollars,2009,116.4777
Beef and veal,California,Million dollars,2010,160.3328
Beef and veal,California,Million dollars,2011,228.7287
Beef and veal,California,Million dollars,2012,265.6976
Beef and veal,California,Million dollars,2013,278.792
Beef and veal,California,Million dollars,2014,326.7281
Beef and veal,California,Million dollars,2015,258.4506
Beef and veal,California,Million dollars,2016,255.2523
Beef and veal,California,Million dollars,2017,287.294
Beef and veal,California,Million dollars,2018,396.7067
Beef and veal,California,Million dollars,2019,374.6976
Beef and veal,California,Million dollars,2020,329.2543
Beef and veal,California,Million dollars,2022,492.2431
Beef and veal,California,Million dollars,2023,469.8614
Beef and veal,California,Million dollars,2021,419.1626
Beef and veal,Colorado,Million dollars,2000,226.1127
Beef and veal,Colorado,Million dollars,2001,217.4448
Beef and veal,Colorado,Million dollars,2002,235.9088
Beef and veal,Colorado,Million dollars,2003,259.3817
Beef and veal,Colorado,Million dollars,2004,54.2918
Beef and veal,Colorado,Million dollars,2005,87.678
Beef and veal,Colorado,Million dollars,2006,134.4727
Beef and veal,Colorado,Million dollars,2007,167.1194
Beef and veal,Colorado,Million dollars,2008,196.1777
Beef and veal,Colorado,Million dollars,2009,184.5767
Beef and veal,Colorado,Million dollars,2010,227.4258
Beef and veal,Colorado,Million dollars,2011,261.4401
Beef and veal,Colorado,Million dollars,2012,298.5382
Beef and veal,Colorado,Million dollars,2013,334.6557
Beef and veal,Colorado,Million dollars,2014,336.6444
Beef and veal,Colorado,Million dollars,2015,325.8435
Beef and veal,Colorado,Million dollars,2016,308.2725
Beef and veal,Colorado,Million dollars,2017,376.8815
Beef and veal,Colorado,Million dollars,2018,430.4715
Beef and veal,Colorado,Million dollars,2019,450.859
Beef and veal,Colorado,Million dollars,2020,451.9369
Beef and veal,Colorado,Million dollars,2022,602.034
Beef and veal,Colorado,Million dollars,2023,491.9983
Beef and veal,Colorado,Million dollars,2021,605.5126
Beef and veal,Connecticut,Million dollars,2000,1.0649
Beef and veal,Connecticut,Million dollars,2001,0.8442
Beef and veal,Connecticut,Million dollars,2002,0.8613
Beef and veal,Connecticut,Million dollars,2003,0.8039
Beef and veal,Connecticut,Million dollars,2004,0.1462
Beef and veal,Connecticut,Million dollars,2005,0.3344
Beef and veal,Connecticut,Million dollars,2006,0.4123
Beef and veal,Connecticut,Million dollars,2007,0.5841
Beef and veal,Connecticut,Million dollars,2008,0.5465
Beef and veal,Connecticut,Million dollars,2009,0.7003
Beef and veal,Connecticut,Million dollars,2010,0.7009
Beef and veal,Connecticut,Million dollars,2011,1.1322
Beef and veal,Connecticut,Million dollars,2012,1.3191
Beef and veal,Connecticut,Million dollars,2013,1.568
Beef and veal,Connecticut,Million dollars,2014,1.9273
Beef and veal,Connecticut,Million dollars,2015,1.6158
Beef and veal,Connecticut,Million dollars,2016,1.6398
Beef and veal,Connecticut,Million dollars,2017,1.4994
Beef and veal,Connecticut,Million dollars,2018,2.1926
Beef and veal,Connecticut,Million dollars,2019,1.4601
Beef and veal,Connecticut,Million dollars,2020,1.6504
Beef and veal,Connecticut,Million dollars,2022,2.4043
Beef and veal,Connecticut,Million dollars,2023,2.4128
Beef and veal,Connecticut,Million dollars,2021,2.2843
Beef and veal,Delaware,Million dollars,2000,0.5362
Beef and veal,Delaware,Million dollars,2001,0.6678
Beef and veal,Delaware,Million dollars,2002,0.608
Beef and veal,Delaware,Million dollars,2003,0.3305
Beef and veal,Delaware,Million dollars,2004,0.1344
Beef and veal,Delaware,Million dollars,2005,0.2065
Beef and veal,Delaware,Million dollars,2006,0.2996
Beef and veal,Delaware,Million dollars,2007,0.3766
Beef and veal,Delaware,Million dollars,2008,0.4706
Beef and veal,Delaware,Million dollars,2009,0.4103
Beef and veal,Delaware,Million dollars,2010,0.4739
Beef and veal,Delaware,Million dollars,2011,0.4496
Beef and veal,Delaware,Million dollars,2012,0.5942
Beef and veal,Delaware,Million dollars,2013,0.6848
Beef and veal,Delaware,Million dollars,2014,0.5512
Beef and veal,Delaware,Million dollars,2015,0.6723
Beef and veal,Delaware,Million dollars,2016,0.6122
Beef and veal,Delaware,Million dollars,2017,0.624
Beef and veal,Delaware,Million dollars,2018,0.9333
Beef and veal,Delaware,Million dollars,2019,0.67
Beef and veal,Delaware,Million dollars,2020,0.7847
Beef and veal,Delaware,Million dollars,2022,0.8594
Beef and veal,Delaware,Million dollars,2023,0.4569
Beef and veal,Delaware,Million dollars,2021,0.6831
Beef and veal,Florida,Million dollars,2000,32.6029
Beef and veal,Florida,Million dollars,2001,30.3941
Beef and veal,Florida,Million dollars,2002,28.0408
Beef and veal,Florida,Million dollars,2003,29.6276
Beef and veal,Florida,Million dollars,2004,7.695
Beef and veal,Florida,Million dollars,2005,14.0356
Beef and veal,Florida,Million dollars,2006,19.6842
Beef and veal,Florida,Million dollars,2007,23.6394
Beef and veal,Florida,Million dollars,2008,26.752
Beef and veal,Florida,Million dollars,2009,26.4644
Beef and veal,Florida,Million dollars,2010,39.6158
Beef and veal,Florida,Million dollars,2011,42.5701
Beef and veal,Florida,Million dollars,2012,52.8996
Beef and veal,Florida,Million dollars,2013,59.7856
Beef and veal,Florida,Million dollars,2014,76.2367
Beef and veal,Florida,Million dollars,2015,70.1305
Beef and veal,Florida,Million dollars,2016,54.5811
Beef and veal,Florida,Million dollars,2017,63.5568
Beef and veal,Florida,Million dollars,2018,63.6084
Beef and veal,Florida,Million dollars,2019,57.385
Beef and veal,Florida,Million dollars,2020,58.3493
Beef and veal,Florida,Million dollars,2022,77.3991
Beef and veal,Florida,Million dollars,2023,76.445
Beef and veal,Florida,Million dollars,2021,77.9833
Beef and veal,Georgia,Million dollars,2000,29.5559
Beef and veal,Georgia,Million dollars,2001,29.1984
Beef and veal,Georgia,Million dollars,2002,22.221
Beef and veal,Georgia,Million dollars,2003,27.9597
Beef and veal,Georgia,Million dollars,2004,6.7409
Beef and veal,Georgia,Million dollars,2005,9.9883
Beef and veal,Georgia,Million dollars,2006,12.784
Beef and veal,Georgia,Million dollars,2007,16.1063
Beef and veal,Georgia,Million dollars,2008,19.6642
Beef and veal,Georgia,Million dollars,2009,20.9214
Beef and veal,Georgia,Million dollars,2010,24.9446
Beef and veal,Georgia,Million dollars,2011,31.0211
Beef and veal,Georgia,Million dollars,2012,33.6204
Beef and veal,Georgia,Million dollars,2013,35.1352
Beef and veal,Georgia,Million dollars,2014,48.0797
Beef and veal,Georgia,Million dollars,2015,37.3395
Beef and veal,Georgia,Million dollars,2016,34.1103
Beef and veal,Georgia,Million dollars,2017,40.6405
Beef and veal,Georgia,Million dollars,2018,42.0298
Beef and veal,Georgia,Million dollars,2019,36.8543
Beef and veal,Georgia,Million dollars,2020,39.9941
Beef and veal,Georgia,Million dollars,2022,57.9983
Beef and veal,Georgia,Million dollars,2023,52.0461
Beef and veal,Georgia,Million dollars,2021,57.9812
Beef and veal,Hawaii,Million dollars,2000,1.7021
Beef and veal,Hawaii,Million dollars,2001,1.5123
Beef and veal,Hawaii,Million dollars,2002,1.5413
Beef and veal,Hawaii,Million dollars,2003,1.4619
Beef and veal,Hawaii,Million dollars,2004,0.3837
Beef and veal,Hawaii,Million dollars,2005,0.6301
Beef and veal,Hawaii,Million dollars,2006,1.0941
Beef and veal,Hawaii,Million dollars,2007,1.3789
Beef and veal,Hawaii,Million dollars,2008,1.605
Beef and veal,Hawaii,Million dollars,2009,2.0401
Beef and veal,Hawaii,Million dollars,2010,2.4586
Beef and veal,Hawaii,Million dollars,2011,4.0326
Beef and veal,Hawaii,Million dollars,2012,4.3692
Beef and veal,Hawaii,Million dollars,2013,4.646
Beef and veal,Hawaii,Million dollars,2014,5.3608
Beef and veal,Hawaii,Million dollars,2015,4.8247
Beef and veal,Hawaii,Million dollars,2016,4.271
Beef and veal,Hawaii,Million dollars,2017,4.5375
Beef and veal,Hawaii,Million dollars,2018,5.72
Beef and veal,Hawaii,Million dollars,2019,5.2276
Beef and veal,Hawaii,Million dollars,2020,5.043
Beef and veal,Hawaii,Million dollars,2022,7.1598
Beef and veal,Hawaii,Million dollars,2023,8.0005
Beef and veal,Hawaii,Million dollars,2021,6.6032
Beef and veal,Idaho,Million dollars,2000,67.0677
Beef and veal,Idaho,Million dollars,2001,76.9604
Beef and veal,Idaho,Million dollars,2002,82.1058
Beef and veal,Idaho,Million dollars,2003,91.0002
Beef and veal,Idaho,Million dollars,2004,18.1979
Beef and veal,Idaho,Million dollars,2005,29.7806
Beef and veal,Idaho,Million dollars,2006,42.2813
Beef and veal,Idaho,Million dollars,2007,58.0132
Beef and veal,Idaho,Million dollars,2008,75.5518
Beef and veal,Idaho,Million dollars,2009,68.5824
Beef and veal,Idaho,Million dollars,2010,94.8161
Beef and veal,Idaho,Million dollars,2011,119.7514
Beef and veal,Idaho,Million dollars,2012,117.2157
Beef and veal,Idaho,Million dollars,2013,170.4903
Beef and veal,Idaho,Million dollars,2014,179.3201
Beef and veal,Idaho,Million dollars,2015,158.0018
Beef and veal,Idaho,Million dollars,2016,171.238
Beef and veal,Idaho,Million dollars,2017,178.7001
Beef and veal,Idaho,Million dollars,2018,216.4245
Beef and veal,Idaho,Million dollars,2019,211.1809
Beef and veal,Idaho,Million dollars,2020,190.876
Beef and veal,Idaho,Million dollars,2022,305.8818
Beef and veal,Idaho,Million dollars,2023,256.9579
Beef and veal,Idaho,Million dollars,2021,245.2959
Beef and veal,Illinois,Million dollars,2000,47.1522
Beef and veal,Illinois,Million dollars,2001,44.3383
Beef and veal,Illinois,Million dollars,2002,42.5358
Beef and veal,Illinois,Million dollars,2003,51.8076
Beef and veal,Illinois,Million dollars,2004,8.648
Beef and veal,Illinois,Million dollars,2005,16.5336
Beef and veal,Illinois,Million dollars,2006,24.6422
Beef and veal,Illinois,Million dollars,2007,38.4775
Beef and veal,Illinois,Million dollars,2008,38.4452
Beef and veal,Illinois,Million dollars,2009,34.3916
Beef and veal,Illinois,Million dollars,2010,47.0263
Beef and veal,Illinois,Million dollars,2011,53.743
Beef and veal,Illinois,Million dollars,2012,46.1392
Beef and veal,Illinois,Million dollars,2013,55.6508
Beef and veal,Illinois,Million dollars,2014,71.1622
Beef and veal,Illinois,Million dollars,2015,55.1091
Beef and veal,Illinois,Million dollars,2016,62.4956
Beef and veal,Illinois,Million dollars,2017,84.3165
Beef and veal,Illinois,Million dollars,2018,76.0917
Beef and veal,Illinois,Million dollars,2019,99.939
Beef and veal,Illinois,Million dollars,2020,74.8174
Beef and veal,Illinois,Million dollars,2022,90.5419
Beef and veal,Illinois,Million dollars,2023,79.8938
Beef and veal,Illinois,Million dollars,2021,98.1235
Beef and veal,Indiana,Million dollars,2000,21.1473
Beef and veal,Indiana,Million dollars,2001,18.1162
Beef and veal,Indiana,Million dollars,2002,17.118
Beef and veal,Indiana,Million dollars,2003,19.087
Beef and veal,Indiana,Million dollars,2004,3.7526
Beef and veal,Indiana,Million dollars,2005,6.6104
Beef and veal,Indiana,Million dollars,2006,11.2914
Beef and veal,Indiana,Million dollars,2007,14.4857
Beef and veal,Indiana,Million dollars,2008,16.7385
Beef and veal,Indiana,Million dollars,2009,15.4082
Beef and veal,Indiana,Million dollars,2010,21.7477
Beef and veal,Indiana,Million dollars,2011,21.8536
Beef and veal,Indiana,Million dollars,2012,31.1231
Beef and veal,Indiana,Million dollars,2013,27.307
Beef and veal,Indiana,Million dollars,2014,38.4352
Beef and veal,Indiana,Million dollars,2015,34.5515
Beef and veal,Indiana,Million dollars,2016,37.85
Beef and veal,Indiana,Million dollars,2017,42.1246
Beef and veal,Indiana,Million dollars,2018,43.2374
Beef and veal,Indiana,Million dollars,2019,48.173
Beef and veal,Indiana,Million dollars,2020,40.4701
Beef and veal,Indiana,Million dollars,2022,62.4062
Beef and veal,Indiana,Million dollars,2023,58.7285
Beef and veal,Indiana,Million dollars,2021,58.1531
Beef and veal,Iowa,Million dollars,2000,169.1533
Beef and veal,Iowa,Million dollars,2001,153.1989
Beef and veal,Iowa,Million dollars,2002,152.2103
Beef and veal,Iowa,Million dollars,2003,197.6613
Beef and veal,Iowa,Million dollars,2004,35.8119
Beef and veal,Iowa,Million dollars,2005,67.769
Beef and veal,Iowa,Million dollars,2006,102.7877
Beef and veal,Iowa,Million dollars,2007,134.0843
Beef and veal,Iowa,Million dollars,2008,190.0149
Beef and veal,Iowa,Million dollars,2009,170.2918
Beef and veal,Iowa,Million dollars,2010,237.033
Beef and veal,Iowa,Million dollars,2011,289.8322
Beef and veal,Iowa,Million dollars,2012,313.0525
Beef and veal,Iowa,Million dollars,2013,353.4661
Beef and veal,Iowa,Million dollars,2014,409.8874
Beef and veal,Iowa,Million dollars,2015,356.1656
Beef and veal,Iowa,Million dollars,2016,376.8954
Beef and veal,Iowa,Million dollars,2017,443.9668
Beef and veal,Iowa,Million dollars,2018,506.9282
Beef and veal,Iowa,Million dollars,2019,492.4398
Beef and veal,Iowa,Million dollars,2020,465.9275
Beef and veal,Iowa,Million dollars,2022,722.2947
Beef and veal,Iowa,Million dollars,2023,508.7953
Beef and veal,Iowa,Million dollars,2021,594.8
Beef and veal,Kansas,Million dollars,2000,438.5118
Beef and veal,Kansas,Million dollars,2001,412.8078
Beef and veal,Kansas,Million dollars,2002,404.5221
Beef and veal,Kansas,Million dollars,2003,477.7072
Beef and veal,Kansas,Million dollars,2004,96.1143
Beef and veal,Kansas,Million dollars,2005,170.1664
Beef and veal,Kansas,Million dollars,2006,258.3774
Beef and veal,Kansas,Million dollars,2007,332.5889
Beef and veal,Kansas,Million dollars,2008,412.0396
Beef and veal,Kansas,Million dollars,2009,390.9285
Beef and veal,Kansas,Million dollars,2010,519.9935
Beef and veal,Kansas,Million dollars,2011,659.3311
Beef and veal,Kansas,Million dollars,2012,648.3739
Beef and veal,Kansas,Million dollars,2013,704.0198
Beef and veal,Kansas,Million dollars,2014,788.2198
Beef and veal,Kansas,Million dollars,2015,712.8514
Beef and veal,Kansas,Million dollars,2016,785.2689
Beef and veal,Kansas,Million dollars,2017,904.2527
Beef and veal,Kansas,Million dollars,2018,1030.6977
Beef and veal,Kansas,Million dollars,2019,1031.7654
Beef and veal,Kansas,Million dollars,2020,1005.33
Beef and veal,Kansas,Million dollars,2022,1590.1918
Beef and veal,Kansas,Million dollars,2023,1353.2315
Beef and veal,Kansas,Million dollars,2021,1424.9769
Beef and veal,Kentucky,Million dollars,2000,47.9356
Beef and veal,Kentucky,Million dollars,2001,41.9724
Beef and veal,Kentucky,Million dollars,2002,34.7659
Beef and veal,Kentucky,Million dollars,2003,46.2489
Beef and veal,Kentucky,Million dollars,2004,10.5695
Beef and veal,Kentucky,Million dollars,2005,15.8923
Beef and veal,Kentucky,Million dollars,2006,24.6367
Beef and veal,Kentucky,Million dollars,2007,31.8476
Beef and veal,Kentucky,Million dollars,2008,37.8794
Beef and veal,Kentucky,Million dollars,2009,34.2404
Beef and veal,Kentucky,Million dollars,2010,48.9722
Beef and veal,Kentucky,Million dollars,2011,54.8182
Beef and veal,Kentucky,Million dollars,2012,54.0907
Beef and veal,Kentucky,Million dollars,2013,75.5343
Beef and veal,Kentucky,Million dollars,2014,91.4404
Beef and veal,Kentucky,Million dollars,2015,74.7747
Beef and veal,Kentucky,Million dollars,2016,72.6554
Beef and veal,Kentucky,Million dollars,2017,80.9997
Beef and veal,Kentucky,Million dollars,2018,92.6922
Beef and veal,Kentucky,Million dollars,2019,89.7301
Beef and veal,Kentucky,Million dollars,2020,87.8846
Beef and veal,Kentucky,Million dollars,2022,151.484
Beef and veal,Kentucky,Million dollars,2023,124.2078
Beef and veal,Kentucky,Million dollars,2021,125.8378
